Date&Time,GHI,DHI,DNI,GTI,Temperature,GTI Loss,Irradiance Shading Loss,IAM Loss,Soiling and Snow Loss,Nominal Energy,Irradiance Level Loss,Shading Electrical Loss,Temperature Loss,Module Quality Loss,Optimizer Max Input Current Loss,Yield Factor Loss,Optimizer Loss,Rear Side Shading Electrical Loss,LID Loss,Ohmic Loss,String Clipping Loss,Array Energy,PV Inverter Efficiency Loss,AC-coupled Inverter Efficiency Loss,Clipping Loss,System Unavailability Loss,Export Limitation Loss,Battery charge,Battery Discharge,Battery State Of Energy,Inverter Output,DC Inverter Output,AC Inverter Output,Consumption,Self-consumption,Imported,Exported,Performance Ratio,ImportedPrice,ExportedPrice
,W/m^2,W/m^2,W/m^2,W/m^2,C,W/m^2,W/m^2,W/m^2,W/m^2,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,Wh,,EUR/kWh,EUR/kWh
02-Jan 09:00:00,45.69965865555184,30.45943514389716,137.24217087240916,65.85248027910363,6.044750270866854,-20.152821623551787,2.1064433453711486,7.456169030937446,0.0,1164.0744682298014,129.67624574903684,45.19084443922696,-63.468961298686445,-7.660185313444121,1.7763568394002505E-15,0.0,31.318297547674558,0.0,0.0,0.7868135732316465,0.0,1028.231413532762,64.52668537215004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.7047281606119,963.7047281606119,0.0,7338.10457202238,963.7047281606115,6374.399843861769,4.547473508864641E-13,0.707655629800014,0.25,0.07,
02-Jan 10:00:00,54.111083882611176,54.111083882611176,0.0,52.19148300683578,7.340817436633406,1.9196008757753944,1.222966720462984,2.0260912281652885,0.0,1012.1293502037314,131.32324322243892,0.0,-53.48763378713272,-6.929321720110603,0.0,0.0,10.384178087011396,0.0,0.0,0.6199401040770743,0.0,930.2189442974474,66.77463030293387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.4443139945135,863.4443139945135,0.0,5258.974943282705,863.4443139945133,4395.530629288191,2.2737367544323206E-13,0.7999904633203678,0.25,0.07,
02-Jan 11:00:00,135.63941696167547,87.0562674499561,175.6570240959079,150.8085074038457,8.488906369156,-15.169090442170244,5.095992497847711,8.433203120389276,0.0,2838.9361677263882,135.40092698458417,168.04361785705112,-116.68957625229123,-19.572696257813753,8.526512829121202E-14,0.0,42.48836476187627,0.0,0.0,4.98848898285825,0.0,2624.2770416501235,76.08264543148101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2548.1943962186424,2548.1943962186424,0.0,4035.957514612309,2548.1943962186424,1487.7631183936664,2.2737367544323206E-13,0.8170654150592834,0.25,0.07,
02-Jan 12:00:00,168.5587858107875,98.81592235795267,230.0156605221486,192.33944280117018,9.425344919032785,-23.78065699038268,5.732237773076377,12.229726388031933,0.0,3606.1262582764803,131.14514941078798,256.96852777424937,-124.15706784127212,-24.718022771794196,2.842170943040401E-14,0.0,46.433279360154245,0.0,0.0,8.009235513463636,0.0,3312.4451568308905,80.73767300220476,0.0,0.0,0.0,0.0,296.4656550197283,0.0,296.4656550197283,2935.2418288089575,2935.2418288089575,0.0,2935.241828808952,2935.241828808952,0.0,5.6843418860808015E-12,0.7379478086418594,0.25,0.07,
02-Jan 13:00:00,193.94851012013186,82.79927916253955,384.4525388794853,239.19378098841105,10.098198908026891,-45.24527086827919,18.067574836008557,17.402960433760025,0.0,4212.996721461527,128.8642454015887,691.8615364333108,-119.43256607751461,-25.8917419169531,-4.973799150320701E-14,0.0,59.471250110395644,0.0,0.0,8.680934625762193,0.0,3469.4430628849377,83.33997616405517,0.0,0.0,0.0,0.0,206.25777217785432,0.0,502.7234271975826,3179.8453145430312,3179.8453145430312,0.0,3179.8453145430312,3179.8453145430312,0.0,0.0,0.6428449305384716,0.25,0.07,
02-Jan 14:00:00,110.0833278839707,71.82562609114837,162.62983795211818,132.95706553671292,10.47015235956259,-22.87373765274222,8.785594228244403,10.491561245679629,0.0,2350.9005400984743,141.07703935240104,249.1815223438348,-88.90458829011419,-15.189451391711932,3.552713678800501E-15,0.0,24.286381130761793,0.0,0.0,3.002098142620703,0.0,2037.447538810682,75.23816009226587,0.0,0.0,0.0,0.0,0.0,502.7234271975826,0.0,2464.932805915999,2464.932805915999,0.0,4035.957514612309,2464.932805915999,1571.02470869631,0.0,0.8964865471749817,0.25,0.07,
02-Jan 15:00:00,68.12359357431588,45.11195774873797,158.39395640115058,90.87511558561994,10.520577014743008,-22.75152201130406,11.449997741274109,9.505218065547197,0.0,1445.9435274255554,135.49607316825285,106.82813588569746,-59.14873339631848,-9.275145303070218,3.552713678800501E-15,0.0,26.08201135856112,0.0,0.0,1.1398586750886754,0.0,1244.8213270373444,66.16035050672843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.6609765306162,1178.6609765306162,0.0,5258.974943282705,1178.660976530616,4080.313966752089,1.7053025658242404E-13,0.6271826590433366,0.25,0.07,
02-Jan 16:00:00,9.517487476472587,9.517487476472587,0.0,0.0,10.246676360086276,9.517487476472587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6848.897600554221,0.0,6848.897600554221,0.0,0.0,0.25,0.07,
02-Jan 17:00:00,0.0,0.0,0.0,0.0,8.870024416148572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7949.613286357578,0.0,7949.613286357578,0.0,0.0,0.25,0.07,
02-Jan 18:00:00,0.0,0.0,0.0,0.0,7.4933724722108686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9294.932457895013,0.0,9294.932457895013,0.0,0.0,0.25,0.07,
02-Jan 19:00:00,0.0,0.0,0.0,0.0,6.116720528273165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8805.725486426856,0.0,8805.725486426856,0.0,0.0,0.25,0.07,
02-Jan 20:00:00,0.0,0.0,0.0,0.0,4.740068584335461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7338.10457202238,0.0,7338.10457202238,0.0,0.0,0.25,0.07,
02-Jan 21:00:00,0.0,0.0,0.0,0.0,3.363416640397757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5625.880171883824,0.0,5625.880171883824,0.0,0.0,0.25,0.07,
02-Jan 22:00:00,0.0,0.0,0.0,0.0,1.9867646964600532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4892.069714681586,0.0,4892.069714681586,0.0,0.0,0.25,0.07,
02-Jan 23:00:00,0.0,0.0,0.0,0.0,0.6101127525223493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
03-Jan 00:00:00,0.0,0.0,0.0,0.0,-4.5675557254454615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
03-Jan 01:00:00,0.0,0.0,0.0,0.0,-5.260947968722199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
03-Jan 02:00:00,0.0,0.0,0.0,0.0,-5.9543402119989395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
03-Jan 03:00:00,0.0,0.0,0.0,0.0,-6.647732455275678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2690.6383430748724,0.0,2690.6383430748724,0.0,0.0,0.25,0.07,
03-Jan 04:00:00,0.0,0.0,0.0,0.0,-7.341124698552417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3179.8453145430312,0.0,3179.8453145430312,0.0,0.0,0.25,0.07,
03-Jan 05:00:00,0.0,0.0,0.0,0.0,-8.034516941829157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4035.957514612309,0.0,4035.957514612309,0.0,0.0,0.25,0.07,
03-Jan 06:00:00,0.0,0.0,0.0,0.0,-8.727909185105894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5258.974943282705,0.0,5258.974943282705,0.0,0.0,0.25,0.07,
03-Jan 07:00:00,0.0,0.0,0.0,0.0,-9.421301428382634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6604.294114820142,0.0,6604.294114820142,0.0,0.0,0.25,0.07,
03-Jan 08:00:00,3.4899234180481002,3.4899234180481002,0.0,0.0,-9.057548034294882,3.4899234180481002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7460.406314889418,0.0,7460.406314889418,0.0,0.0,0.25,0.07,
03-Jan 09:00:00,88.3911443786609,23.388085612353592,581.6803045155854,144.21497905170048,-7.682356185267927,-55.823834673039585,5.890570360406144,20.13877058468094,0.0,2444.0789960447655,125.23921939302065,197.3124031781234,-218.89276851986065,-17.064444287467282,-3.019806626980426E-14,0.0,65.16090366451058,0.0,0.0,4.013732108375774,0.0,2288.309950508063,72.39220393650686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.917746571556,2215.9177465715566,0.0,7338.10457202238,2215.9177465715557,5122.1868254508245,4.547473508864641E-13,0.7430078081206943,0.25,0.07,
03-Jan 10:00:00,196.77299552252282,44.74984129190686,716.9129053892507,253.83053730442612,-5.38461105866244,-57.057541781903296,8.901312838930874,19.17907344437853,0.0,4668.513123116692,105.68153437435173,406.0523999741238,-337.70517167689246,-33.05920049476067,-2.5224267119483557E-13,0.0,86.59096114368946,0.0,0.0,14.120603268076007,0.0,4426.831996528106,100.68217468773894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4326.149821840367,4326.149821840367,0.0,5258.974943282705,4326.149821840367,932.825121442338,0.0,0.8241529166460632,0.25,0.07,
